"DateTime","Alexandrium catenella","Dinophysis acuminata","Dinophysis norvegica","Karenia","Margalefidinium polykrikoides","Pseudo-nitzschia"
"2020-09-01 03:30:29",0,0,0,0,0,0
"2020-09-01 06:39:11",0,0,0,0,0,0
"2020-09-01 09:47:52",0,0,0,0,0,0
"2020-09-01 18:58:37",1590,0,0,1363,7270,227
"2020-09-01 22:07:18",659,220,0,1098,3074,0
"2020-09-02 01:15:58",220,440,0,660,1761,0
"2020-09-02 04:24:39",1303,652,0,434,1955,0
"2020-09-02 07:58:44",0,0,0,638,638,0
"2020-09-02 11:07:25",210,420,0,1469,840,420
"2020-09-02 14:16:05",214,642,214,214,1712,214
"2020-09-02 17:24:46",8340,1191,238,3098,22637,0
"2020-09-02 20:33:27",2012,671,224,894,4695,0
"2020-09-02 23:42:08",657,438,219,438,4601,0
"2020-09-03 03:16:16",862,431,0,431,4311,647
"2020-09-03 06:24:57",861,215,0,430,1076,0
"2020-09-03 09:33:37",640,427,0,427,1921,0
"2020-09-03 12:42:18",0,635,423,846,1692,635
"2020-09-03 15:50:58",1116,223,0,893,5580,446
"2020-09-03 18:59:39",1133,907,0,680,6574,453
"2020-09-03 22:33:45",218,437,0,655,873,0
"2020-09-04 01:42:26",848,424,0,848,4664,636
"2020-09-04 04:51:06",422,634,211,0,211,211
"2020-09-04 07:59:46",213,1063,0,1700,2975,213
"2020-09-04 11:08:27",0,420,210,420,1049,0
"2020-09-04 14:17:07",0,430,0,1720,860,430
"2020-09-04 17:51:15",1096,438,0,1096,1754,219
"2020-09-04 20:59:56",1192,1192,0,2861,7631,0
"2020-09-05 00:08:37",0,215,0,1288,1717,0
"2020-09-05 03:17:18",0,0,0,1070,428,0
"2020-09-05 06:25:58",422,633,0,1265,1898,422
"2020-09-05 09:34:39",424,424,212,424,424,0
"2020-09-05 12:43:19",214,214,214,1715,214,0
"2020-09-05 16:17:26",215,215,215,429,858,858
"2020-09-05 19:26:07",433,865,216,1514,649,0
"2020-09-05 22:34:48",0,220,0,881,441,661
"2020-09-06 01:43:28",858,214,0,1286,643,429
"2020-09-06 04:52:09",1067,213,0,213,3628,213
"2020-09-06 08:00:50",430,644,215,1503,1503,859
"2020-09-06 11:34:59",213,0,0,0,1494,213
"2020-09-08 16:34:18",217,434,0,1303,1737,217
"2020-09-08 19:42:58",1127,902,0,1127,1803,0
"2020-09-08 22:51:39",0,0,0,876,0,0
"2020-09-09 02:00:20",218,436,0,1744,436,218
"2020-09-09 05:09:00",0,651,0,1519,434,217
"2020-09-09 08:43:07",438,875,219,1313,219,219
"2020-09-09 11:51:47",0,219,0,2193,658,877
"2020-09-09 15:00:28",0,0,0,1560,223,446
"2020-09-09 18:09:08",0,1344,0,896,448,448
"2020-09-09 21:17:49",0,926,0,695,232,926
"2020-09-10 00:26:30",0,0,0,1548,221,0
"2020-09-10 04:00:38",0,874,219,1530,0,437
"2020-09-10 07:09:18",437,0,0,2622,218,218
"2020-09-10 10:18:00",224,1343,0,4030,0,2239
"2020-09-10 13:26:40",440,0,0,1100,0,880
"2020-09-10 16:35:21",455,227,0,1592,455,1137
"2020-09-10 19:44:02",0,234,0,1868,0,467
"2020-09-10 22:52:43",231,461,0,1383,0,692
"2020-09-11 02:26:47",477,477,0,3102,477,0
"2020-09-11 05:35:28",0,425,0,1062,0,212
"2020-09-11 08:44:08",0,447,0,1564,0,670
"2020-09-11 11:52:49",0,0,0,2288,0,1602
"2020-09-11 15:01:31",236,236,0,473,0,236
"2020-09-11 18:10:12",526,0,0,1577,0,263
"2020-09-11 21:44:20",0,277,0,831,0,554
"2020-09-12 00:53:02",0,758,253,505,0,0
"2020-09-12 04:01:44",0,252,0,504,504,0
"2020-09-12 07:10:25",241,0,0,722,0,0
"2020-09-12 10:19:06",0,241,0,724,0,483
"2020-09-12 13:27:48",0,484,242,726,0,0
"2020-09-12 17:01:57",0,763,0,763,0,254
"2020-09-12 20:10:38",0,557,0,1115,0,3901
"2020-09-12 23:19:20",291,582,0,1456,0,291
"2020-09-13 02:28:03",271,271,0,1898,0,542
"2020-09-13 05:36:45",0,810,0,3779,0,810
"2020-09-13 08:45:27",0,533,0,1599,0,0
"2020-09-13 12:19:38",0,751,0,1002,0,250
"2020-09-13 15:28:20",0,277,277,1662,277,0
"2020-09-13 18:37:02",263,0,0,2628,0,526
"2020-09-13 21:45:43",246,492,0,492,0,984
"2020-09-14 00:54:24",0,249,0,249,0,497
"2020-09-14 04:03:06",0,519,0,2076,0,259
"2020-09-14 07:11:48",0,491,0,2700,0,0
"2020-09-14 10:45:54",0,254,0,1526,0,2289
"2020-09-14 13:54:36",536,1073,0,536,0,268
"2020-09-14 17:03:18",292,1459,292,584,292,584
"2020-09-14 20:12:01",308,616,0,1231,0,924
"2020-09-14 23:20:44",0,1861,0,2393,0,1861
"2020-09-15 02:29:26",0,522,0,2611,0,1828
"2020-09-15 06:03:33",276,553,0,6079,0,276
"2020-09-15 09:12:15",0,0,0,2140,0,802
"2020-09-15 12:20:57",0,263,0,1840,263,1315
